Date Added,Status,Pest family,Pest Name,Common name or abbreviation,Type of pest,EU and EPPO listing,High levels of uncertainty associated with the risk scores for this pest,Key uncertainty,Potential impact of key uncertainty,Climate uncertainty,Potential impact of Climate uncertainty,Current Distribution uncertainty,Potential impact of Current Distribution uncertainty,UK Distribution uncertainty,Potential impact of UK Distribution uncertainty,Hosts uncertainty,Potential impact of Hosts uncertainty,Impact uncertainty,Potential impact of Impact uncertainty,Pathways uncertainty,Potential impact of Pathways uncertainty,Regulation uncertainty,Potential impact of Regulation uncertainty,Taxonomy uncertainty,Potential impact of Taxonomy uncertainty,Other uncertainty,Potential impact of Other uncertainty,Major Hosts,UK,Europe,Global Distribution,Pathways,Pathway Assessed for Entry to UK,Scenario for Risk Register,Likelihood,Impact ,Value at Risk,UK Relative Risk Rating (unmitigated),Regulation,Surveillance,Industry Scheme,Contingency plan,Awareness,Research,Likelihood,Impact ,UK Relative Risk Rating (mitigated),Regulation,Deregulation or reduced regulation,Management by Industry,Targeted Survey,PRA,Contingency Plan,Publicity,Research,Action,General Comments
08-Oct-13,Live,Elateridae,Limonius californicus,Wireworm; sugarbeet,Insect,,,,,,,,,,,,,,,,,,,,,,,Avena sativa; Beta vulgaris; Poaceae (family); Hordeum vulgare; Phaseolus vulgaris; Solanum tuberosum; Trifolium pratense; Triticum aestivum; Zea mays,Absent,,Canada; United States,Soil/growing medium; Fruits or vegetables; Plants for planting (except seeds bulbs and tubers); Bulbs or tubers,Plants for planting (except seeds bulbs and tubers),Pest is introduced,2,2,5,20,Soil; potato; etc prohibitions,,,,,,2,2,20,,,,,,,,,No statutory action,American wireworm beetle pest of field crops and grasses; unlikely to enter the UK as most pathways are controlled..
08-Oct-13,Live,Agromyzidae,Liriomyza brassicae,cabbage leaf miner; serpentine leaf miner,Insect,,,,,,,,,,,,,,,,,,,,,,,Barbarea (= Barbaraea); Brassica; Brassica rapa x pekinensis; Cakile; Capparis; Cheiranthus; Cleome; Eruca; Gynandropsis; Hirschfeldia; Isatis; Leguminosae; Lepidium; Matthiola; Moricandia; Nasturtium; Pisum; Raphanus; Sinapis alba; Sisymbrium; Tropaeolum; Brassica oleracea var. capitata; Brassicaceae (family); Capparaceae (family); Tropaeolaceae (family),Absent,Germany; Spain; France; Poland; Romania,Canada; United States; Argentina; Brazil; Guyana; Venezuela; Australia; Fiji; New Zealand; Papua New Guinea; Cabo Verde; Egypt; Ethiopia; Kenya; Mozambique; Senegal; South Africa; Zimbabwe; China; India; Iraq; Japan; Cambodia; Sri Lanka; Malaysia; Philippines; Singapore; Thailand; Taiwan; Yemen,Soil/growing medium; Fruits or vegetables,Fruits or vegetables,Pest is introduced,2,2,2,8,,,,,,,2,2,8,,,,,,,,,No statutory action,Leafmining fly pest mainly of Brassica. Unlikely to establish outdoors in UK. Watching brief with respect to glasshouse findings elsewhere.
08-Oct-13,Live,Agromyzidae,Liriomyza bryoniae,tomato leaf miner,Insect,Regulated protected zone quarantine pest (Northern Ireland),,,,,,,,,,,,,,,,,,,,,,Brassica; Brassica oleracea; Citrullus lanatus; Cucumis melo; Cucumis sativus; Cucurbita pepo; Cucurbitaceae (family); Lactuca sativa; Solanum lycopersicum,Present (Limited),Albania; Bosnia-Herzegovina; Belgium; Bulgaria; Czech Republic; Germany; Denmark; Estonia; Spain; Finland; France; Greece; Croatia; Hungary; Italy; Lithuania; Latvia; Moldova; Malta; Netherlands; Norway; Poland; Portugal; Romania; Russia; Sweden; Slovenia; T�rkiye; Ukraine,Egypt; Morocco; China; Israel; India; Japan; South Korea; Nepal; Turkmenistan; Taiwan; Vietnam,Fruits or vegetables; Plants for planting (except seeds bulbs and tubers),,Pest spreads to maximum extent,2,4,4,32,Regulated protected zone quarantine pest (Northern Ireland),Targeted surveys,,,UK local or industry awareness,,1,3,12,,,,,,,,,Statutory action in Northern Ireland,Polyphagous leafmining fly. Restricted to glasshouses in Great Britain; regulated in Northern Ireland. Current measures appear to be effective at mitigating risk.
31-Oct-16,Live - Archived,Agromyzidae,Liriomyza cannabis,,Insect,,,,,,,,,,,,,,,,,,,,,,,Cannabis ruderalis,Present (Unknown Distribution),Bulgaria; Germany; Finland; Greece; Italy; Slovenia; T�rkiye,Japan,Plants for planting (except seeds bulbs and tubers),,Pest spreads to maximum extent,2,1,2,4,,,,,,,2,1,4,,,,,,,,,No statutory action on findings.,Leaf miner found on hemp; unlikely to pose a threat to UK plant health. 
22-Aug-16,Live,Agromyzidae,Liriomyza chinensis,stone-leek leaf miner,Insect,,,,,,,,,,,,,,,,,,,,,,,Allium ampeloprasum; Allium cepa; Allium chinense; Allium fistulosum; Allium porrum; Allium sativum; Allium tuberosum,Absent,France,Bangladesh; China; Indonesia; Japan; South Korea; Malaysia; Singapore; Thailand; Taiwan; Vietnam,Plants for planting (except seeds bulbs and tubers); Bulbs or tubers,Plants for planting (except seeds bulbs and tubers); Bulbs or tubers,Pest is introduced,3,2,4,24,,,,,,,3,2,24,,,,,,,,,No statutory action,Leafmining fly pest of Allium species. Some uncertainty about its potential to survive in the UK.
08-Oct-13,Live,Agromyzidae,Liriomyza huidobrensis,pea leaf miner; potato leaf miner; serpentine leaf miner; South American leaf miner,Insect,Regulated quarantine pest (Great Britain). Regulated protected zone quarantine pest (Northern Ireland). EPPO A2,,,,,,,,,,,,,,,,,,,,,,Allium cepa; Allium sativum; Apium graveolens; Argyranthemum frutescens; Aster; Beta vulgaris; Cannabis sativa ssp. sativa; Capsicum annuum; Chrysanthemum; Cucumis; Cucumis melo; Cucumis sativus; Cucurbita pepo; Dahlia hybrids; Dendranthema indicum; Chrysanthemum x morifolium; Dianthus caryophyllus; Gypsophila paniculata; Lactuca sativa; Lathyrus; Leucanthemum vulgare; Leucanthemum x superbum; Solanum lycopersicum; Medicago sativa; Phaseolus vulgaris; Pisum sativum; Primula Polyanthus hybrids; Raphanus sativus; Solanum melongena; Solanum tuberosum; Spinacia oleracea; Tanacetum parthenium; Tanacetum vulgare; Verbena hybrids; Vicia faba; Zinnia,Absent,Austria; Belgium; Bulgaria; Switzerland; Cyprus; Czech Republic; Germany; Spain; Finland; France; Greece; Croatia; Hungary; Italy; Montenegro; Malta; Netherlands; Poland; Portugal; Serbia; T�rkiye,Canada; Mexico; United States; Argentina; Brazil; Chile; Colombia; Ecuador; French Guiana; Peru; Uruguay; Venezuela; Australia; Kenya; Comoros; Morocco; Mauritius; Reunion; Seychelles; South Africa; Zimbabwe; China; Indonesia; Israel; India; Jordan; Japan; North Korea; South Korea; Lebanon; Sri Lanka; Malaysia; Nepal; Philippines; Saudi Arabia; Singapore; Syria; Thailand; Taiwan; Vietnam; Yemen; Belize; Costa Rica; Dominican Republic; Guadeloupe; Guatemala; Honduras; Nicaragua; Panama; El Salvador,Fruits or vegetables; Cut flowers or branches; Plants for planting (except seeds bulbs and tubers),Cut flowers or branches,Pest is introduced,4,3,4,48,Regulated quarantine pest (Great Britain) Regulated pest free area pest (Northern Ireland),,,,UK local or industry awareness,,2,3,24,,,,,,,,,Statutory action against findings,Regulated polyphagous leafmining fly pets. It is often intercepted on various host plans. 
21-Nov-14,Live - Archived,Agromyzidae,Liriomyza katoi,,Insect,,,,,,,,,,,,,,,,,,,,,,,Artemisia; Chrysanthemum,Absent,,Indonesia; Japan; Cambodia; Malaysia; Taiwan; Vietnam,Cut flowers or branches; Fruits or vegetables; Plants for planting (except seeds bulbs and tubers),Fruits or vegetables,Pest is introduced,1,1,4,4,,,,,,,1,1,4,,,,,,,,,No statutory action on findings,Leaf mining fly intercepted on leaves of mugwort for consumption; unlikely to pose a threat to UK plant health. 
08-Oct-13,Live,Agromyzidae,Liriomyza sativae,American leaf miner; chrysanthemum leaf miner; melon leaf miner; serpentine vegetable leaf miner; vegetable leaf miner,Insect,Regulated quarantine pest. EPPO A2,,,,,,,,,,,,,,,,,,,,,,Apium graveolens; Aster novi-belgii; Capsicum annuum; Chrysanthemum; Cucumis; Cucumis melo; Cucumis sativus; Cucurbita pepo; Dahlia hybrids; Chrysanthemum x morifolium; Dianthus; Gypsophila; Lathyrus; Solanum lycopersicum; Medicago sativa; Ocimum; Phaseolus lunatus; Phaseolus vulgaris; Pisum sativum; Ricinus communis; Solanum melongena; Solanum tuberosum; Solidago; Sorghum vulgare; Spinacia oleracea; Vicia faba; Vigna; Solanaceae (family); Fabaceae (family); Plants (general),Absent,Malta; T�rkiye,Canada; Mexico; United States; Argentina; Brazil; Chile; Colombia; Ecuador; French Guiana; Peru; Venezuela; Australia; Micronesia; New Caledonia; French Polynesia; Papua New Guinea; Vanuatu; Samoa; Cameroon; Egypt; Kenya; Nigeria; Sudan; Zimbabwe; United Arab Emirates; Bangladesh; China; Indonesia; Israel; India; Iraq; Iran; Jordan; Japan; Sri Lanka; Malaysia; Oman; Philippines; Pakistan; Saudi Arabia; Thailand; Uzbekistan; Vietnam; Yemen; Antigua and Barbuda; Barbados; Bahamas; Costa Rica; Cuba; Dominica; Dominican Republic; Guadeloupe; Guatemala; Honduras; Jamaica; Saint Kitts and Nevis; Saint Lucia; Martinique; Nicaragua; Panama; Puerto Rico; Trinidad and Tobago; Saint Vincent and the Grenadines,Fruits or vegetables; Cut flowers or branches; Plants for planting (except seeds bulbs and tubers),Fruits or vegetables,Pest is introduced,2,5,5,50,Regulated quarantine pest,,,,,,2,3,30,,,,,,,,,Statutory action against findings. ,Regulated quarantine leafmining fly pest. Intercepted frequently on plant produce; but no recent outbreaks in the UK. Still spreading internationally. 
08-Oct-13,Live,Agromyzidae,Liriomyza trifolii,American serpentine leaf miner; broad bean leaf miner; Californian leaf miner; Celery leaf miner; Chrysanthemum leaf miner,Insect,Regulated quarantine pest (Great Britain). Regulated protected zone quarantine pest (Northern Ireland). EPPO A2,,,,,,,,,,,,,,,,,,,,,,Abelmoschus esculentus; Allium cepa; Allium porrum; Allium sativum; Apium graveolens; Arachis hypogaea; Aster; Beta vulgaris; Brassica; Brassica chinensis; Callistephus; Capsicum annuum; Chrysanthemum; Citrullus lanatus; Cucumis; Cucumis melo; Cucumis sativus; Cucurbita pepo; Cucurbitaceae (family); Dahlia; Dahlia hybrids; Chrysanthemum x morifolium; Dianthus; Dianthus caryophyllus; Gaillardia; Gerbera; Gerbera jamesonii; Glycine max; Gossypium; Gypsophila; Gypsophila paniculata; Helianthus; Lactuca sativa; Lathyrus; Solanum lycopersicum; Medicago sativa; Pericallis x hybrida; Phaseolus coccineus; Phaseolus lunatus; Phaseolus vulgaris; Pisum sativum; Salvia; Solanum tuberosum; Spinacia oleracea; Tagetes; Trifolium; Tropaeolum; Vigna; Zinnia; Asteraceae (family); Gossypium hirsutum,Absent,Austria; Bosnia-Herzegovina; Belgium; Switzerland; Cyprus; Spain; Finland; France; Greece; Croatia; Italy; Moldova; Malta; Netherlands; Portugal; Romania; Serbia; Russia; T�rkiye,Canada; Mexico; United States; Argentina; Brazil; Chile; Colombia; Ecuador; French Guiana; Guyana; Peru; Venezuela; Australia; Fiji; Micronesia; Tonga; Samoa; Benin; Cote d'Ivoire; Egypt; Ethiopia; Guinea; Kenya; Morocco; Madagascar; Mauritius; Nigeria; Reunion; Sudan; Senegal; Tunisia; Tanzania; Mayotte; South Africa; Zambia; Zimbabwe; United Arab Emirates; China; Israel; India; Iraq; Iran; Jordan; Japan; South Korea; Lebanon; Oman; Philippines; Saudi Arabia; Taiwan; Vietnam; Yemen; Antigua and Barbuda; Barbados; Bermuda; Bahamas; Costa Rica; Cuba; Dominican Republic; Guadeloupe; Guatemala; Saint Kitts and Nevis; Martinique; Puerto Rico; Trinidad and Tobago; British Virgin Islands,Fruits or vegetables; Cut flowers or branches; Plants for planting (except seeds bulbs and tubers),Cut flowers or branches,Pest is introduced,3,3,4,36,Regulated quarantine pest (Great Britain). Regulated pest free area pest (Northern Ireland and other parts of Europe),,,,UK local or industry awareness,,2,3,24,,,,,,,,,Statutory action against findings,Regulated polyphagous leafmining fly pest. Often intercepted on various host plants.
08-Oct-13,Live,Curculionidae,Lissorhoptrus oryzophilus,American water weevil; Rice water weevil,Insect,,,,,,,,,,,,,,,,,,,,,,,Agrostis avenacea; Alopecurus aequalis; Bambusa multiplex; Commelina diffusa; Cynodon dactylon; Cyperus; Eleocharis; Poaceae (family); Miscanthus floridulus; Miscanthus sinensis; Oryza sativa; Panicum; Paspalum; Phragmites australis; Poa annua; Rhynchelytrum repens; Saccharum officinarum; Setaria viridis; Zea mays,Absent,Spain; Greece; Italy,Canada; Mexico; United States; Colombia; Venezuela; China; India; Japan; North Korea; South Korea; Taiwan; Cuba; Dominican Republic,Soil/growing medium; Hitchhiking; Plants for planting (except seeds bulbs and tubers),Plants for planting (except seeds bulbs and tubers),Pest is introduced,3,2,2,12,,,,,,,3,2,12,,,,,,,,,No statutory action,Weevil pest of rice and other cereals and grasses. Rice growing countries appear most at risk; but UK stakeholder organisations may wish to monitor for its presence on wild hosts in UK; as may Miscanthus growers.
08-Oct-13,Live,Curculionidae,Listroderes costirostris,Sugarbeet webworm; Vegetable weevil; Weevil; Australian tomato,Insect,,,Taxonomic uncertainty between this species and L. difficilis,,,,Uncertainty over where it is actually present due to taxonomic confusion,,,,,,What; if any; factors cause the very high levels of impact occasionally seen,,,,,,Confusion in the literature and potential misidentifications with L. difficilis,,,,Allium cepa; Allium sativum; Apium graveolens; Arachis hypogaea; Beta vulgaris; Brassica napus; Brassica oleracea; Brassica rapa; Capsicum annuum; Chrysanthemum; Cichorium endivia; Conium maculatum; Daucus carota; Gynura bicolor; Lactuca sativa; Solanum lycopersicum; Malva; Morus alba; Nicotiana tabacum; Pastinaca sativa; Petroselinum crispum; Raphanus raphanistrum; Rumex; Silybum marianum; Solanum melongena; Solanum tuberosum; Spinacia oleracea; Stellaria,Absent,,Mexico; United States; Argentina; Brazil; Chile; Uruguay,Soil/growing medium; Hitchhiking; Plants for planting (except seeds bulbs and tubers); Fruits or vegetables,Fruits or vegetables,Pest is introduced,2,3,5,30,,,,,,,2,3,30,,,,,,,,,No statutory action,Polyphagous weevil native to South America but now also found in limited parts of North America. Its identity has long been confused with the closely related species Listroderes difficilis which has been introduced to more parts of the world.
08-Oct-13,Live,Curculionidae,Listroderes delaiguei,Subterranean clover weevil,Insect,,,Most information; especially on impacts is very dated.,,,,,,,,It is unclear how important other hosts are; especially other pasture/forage crops,,,,Hay may need further consideration as a pathway; especially if trade volumes from the range of the weevil increase,,,,,,,,Arctotheca calendula; Trifolium; Trifolium subterraneum,Absent,,Argentina; Chile; Uruguay; Australia; New Zealand,Soil/growing medium; Hitchhiking; Plants for planting (except seeds bulbs and tubers),Plants for planting (except seeds bulbs and tubers),Pest is introduced,3,2,2,12,Soil prohibitions,,,,,,3,2,12,,,,,,,,,No statutory action recommended.,South American weevil; also long established in Australia and New Zealand. The main host is subterranean clover; though other plants are occasionally eaten. High levels of damage were recorded in Australia over 100 years ago; but no data on more recent impacts could be found.
29-Jul-25,Live,Curculionidae,Listroderes difficilis,,Insect,,,Taxonomic uncertainty between this species and L. costirostris,,,,Uncertainty over where it is actually present due to taxonomic confusion,,,,,,What; if any; factors cause the very high levels of impact occasionally seen,,,,,,Confusion in the literature and potential misidentifications with L. costirostris,,,,Allium cepa; Apium graveolens; Brassica oleracea; Brassica rapa; Daucus carota; Fragaria x ananassa; Lactuca sativa; Lepidium; Solanum lycopersicum; Medicago sativa; Nicotiana tabacum; Petroselinum crispum; Raphanus sativus; Rubus idaeus; Rumex; Solanum tuberosum; Spinacia oleracea; Stellaria; Umbelliferae; Caryophyllaceae (family); Solanaceae (family); Asteraceae (family); Brassicaceae (family); Fabaceae (family); Lamiaceae (family); Polygonaceae (family),Absent,Spain; France; Italy,United States; Argentina; Chile; Uruguay; Australia; New Zealand; Tunisia; Israel; Japan; South Korea; Taiwan,Plants for planting (except seeds bulbs and tubers); Cut flowers or branches; Fruits or vegetables; Hitchhiking,Fruits or vegetables,Pest is introduced,2,3,5,30,,,,,,,2,3,30,,,,,,,,,No statutory action.,Polyphagous weevil native to South America but now found in several other parts of the world. This species is now regarded as distinct from the closely related Listroderes costirostris.
08-Oct-13,Live,Curculionidae,Listronotus bonariensis,Argentina stem weevil; ryegrass stem weevil; Weevil; Argentine stem; Wheat stem weevil,Insect,Regulated quarantine pest. EPPO A1,,,,,,,,,,,,,,,,,,,,,,Agrostis tenuis; Anthoxanthum puelii; Festuca rubra; Lolium; Lolium multiflorum; Lolium perenne; Triticum; Zea mays,Absent,,Argentina; Bolivia; Brazil; Chile; Uruguay; Australia; New Zealand,Seeds,Seeds,Pest is introduced,2,3,4,24,Regulated quarantine pest,,,,,,1,3,12,,,,,,,,,Statutory action against findings. ,Regulated pest with action taken on interceptions. Measures being implemented by New Zealand authorities to mitigate the risk.
19-Mar-16,Live,Closteroviridae,Little cherry virus 1, Shirofugen disease; K &amp; S disease; K &amp; S little cherry disease; Kwanzan disease; Little cherry,Virus or Viroid,Regulated non quarantine pest,,,,,,,,,,,,,,,,,,,,,,Prunus; Prunus armeniaca; Prunus avium; Prunus cerasus; Prunus domestica; Prunus emarginata; Prunus incisa; Prunus mahaleb; Prunus pensylvanica; Prunus sargentii; Prunus serrula; Prunus serrulata; Prunus subhirtella; Prunus tomentosa; Prunus x sieboldii; Prunus yedoensis,Present (Limited),Belgium; Switzerland; Czech Republic; Germany; Spain; France; Greece; Italy; Poland; Romania; Slovakia; T�rkiye,Canada; United States; Chile; Australia; New Zealand; Morocco; China; India; Japan; South Korea,Plants for planting (except seeds bulbs and tubers),Plants for planting (except seeds bulbs and tubers),Pest spreads to maximum extent,2,3,2,12,Regulated non quarantine pest,,Industry accreditation scheme,,,,2,3,12,,,,,,,,,Statutory action in line with legislation,Virus mainly affecting cherries; this pest is present in the UK with a limited distribution. Regulation on planting material of certain hosts helps to reduce spread.
08-Oct-13,Live,Closteroviridae,Little cherry virus 2,,Virus or Viroid,Regulated non quarantine pest,,,,,,,,,,,,,,,,,,,,,,Prunus avium; Prunus cerasus,Present (Limited),Belgium; Germany; Croatia; Poland,Canada; United States; Australia; New Zealand; China; Japan; South Korea,Plants for planting (except seeds bulbs and tubers),Plants for planting (except seeds bulbs and tubers),Pest spreads to maximum extent,2,4,2,16,Regulated non quarantine pest,,Industry accreditation scheme,,,,2,4,16,,,,,,,,,Statutory action in line with legislation,Virus affecting cherries; this pest is present in the UK with a limited distribution. Regulation on planting material of certain hosts helps to reduce spread. 
21-May-19,Live,Anguinidae,Litylenchus crenatae ,A leaf gall nematode,Nematode,EPPO Alert (2019),,Lack of information about this pest?s biology.,,,,Full extent of current distribution in Japan,,,,,,,,Still some uncertainties on pathways; which more information on the nematode?s lifecycle would help answer.,,,,This is a newly described species; its taxonomy is not confirmed.,,,,Fagus crenata; Fagus engleriana; Fagus grandifolia; Fagus sylvatica ssp. orientalis; Fagus sylvatica,Absent,,Canada; United States; Japan,nematodes; Plants for planting (except seeds bulbs and tubers),Plants for planting (except seeds bulbs and tubers),Pest is introduced,3,5,5,75,Fagus is a high risk host; temporarily prohibited. ,,,,,,2,5,50,Y,,,,,Y,Y,Y,Statutory action against findings,Nematode which causes beech leaf disease in North America and Japan.  Potential risk to beech; which is widely grown in the UK.
24-Jul-15,Live - Archived,Tortricidae,Lobesia botrana,ashen grapevine moth; European grape vine moth; Grape berry moth; Grape fruit moth; Vine moth,Insect,,,,,,,,,,,,,,,,,,,,,,,Vitis vinifera,Absent,Albania; Austria; Belgium; Bulgaria; Belarus; Switzerland; Cyprus; Czech Republic; Germany; Spain; France; Greece; Croatia; Hungary; Italy; Lithuania; Luxembourg; Moldova; Montenegro; Republic of North Macedonia; Malta; Poland; Portugal; Romania; Serbia; Russia; Slovenia; Slovakia; T�rkiye; Ukraine,Argentina; Algeria; Egypt; Eritrea; Ethiopia; Kenya; Libya; Morocco; Armenia; Azerbaijan; Georgia; Israel; Iraq; Iran; Jordan; Kazakhstan; Lebanon; Syria; Tajikistan; Turkmenistan; Uzbekistan,Plants for planting (except seeds bulbs and tubers); Natural spread,Plants for planting (except seeds bulbs and tubers); Natural spread,Pest is introduced,3,2,2,12,,,,,,,3,2,12,,,,,,,,,No statutory action,Moth pest of vines present across much of Europe. Unlikely to be damaging to outdoor crops in the UK; but grapes grown in heated glasshouses in Belgium have been damaged.
21-May-19,Live,Nitidulidae,Lobiopa insularis,,Insect,,,Climatic suitability of the UK,,Unclear if the beetle could complete its life cycle or overwinter in the UK outside of protected cultivation,,,,,,Full host range,,,,If plants for planting could be considered the main pathway for this pest. ,,,,,,,,Citrus limon; Citrus sinensis; Ficus; Fragaria; Mangifera; Musa; Prunus; Prunus persica; Psidium guajava; Vitis,Absent,Spain,Mexico; United States; Argentina; Brazil; Colombia; Bahamas; Belize; Costa Rica; Dominica; Grenada; Saint Kitts and Nevis; Nicaragua; Panama; Puerto Rico,Fruits or vegetables; Plants for planting (except seeds bulbs and tubers); Hitchhiking,Fruits or vegetables,Pest is introduced,3,2,5,30,,,,,,,3,2,30,,,,,Y,,,,Statutory action against findings,Polyphagous beetle pest present in the Americas; causing significant damage to strawberry crops in some areas. A PRA will help to better assess the level of risk to the UK.
20-Apr-20,Live,Longidoridae,Longidorus attenuatus,Needle nematode; Tomato black-ring nematode,Nematode,Regulated non quarantine pest,,,,,,,,,,,,,,,,,,,,,,Beta vulgaris; Brassica; Cucurbita; Cynara scolymus; Daucus carota; Fragaria; Glycine max; Hordeum vulgare; Lolium; Medicago sativa; Prunus avium; Prunus cerasus; Prunus domestica; Prunus persica; Prunus salicina; Rubus; Solanum tuberosum; Trifolium; Triticum; Vitis,Present (Widespread),Bulgaria; Germany; Spain; France; Italy; Poland; T�rkiye; Ukraine,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,The Risk Register entry for this pest is extremely incomplete and it cannot be compared with other pests on the Risk Register at the current time. As this is a Regulated Non Quarantine Pest (RNQP) listed in the legislation; we are making available the information we have gathered on the pest so far. It is possible that we will add new information to this pest entry in due course; but as there are a great many RNQPs this may take some time.
08-Oct-13,Live,Longidoridae,Longidorus diadecturus,,Nematode,Regulated quarantine pest,,,,,,,,,,,,,,,,,,,,,,Cercis canadensis; Cucumis sativus; Prunus persica; Vaccinium; Vitis vinifera; Acer negundo,Absent,,Canada,Plants for planting (except seeds bulbs and tubers),Plants for planting (except seeds bulbs and tubers),Pest is introduced,3,3,3,27,Regulated quarantine pest,,,,,,2,3,18,,,,,,,,,Statutory action against findings. ,North American nematode with wide host range; already regulated  with no evidence of risk to entry to UK.
20-Apr-20,Live,Longidoridae,Longidorus elongatus,Eelworm; Tomato black ring; Needle nematode,Nematode,Regulated non quarantine pest,,,,,,,,,,,,,,,,,,,,,,Allium; Anthemis cotula; Apium graveolens; Arachis hypogaea; Avena sativa; Beta vulgaris; Brassica oleracea var. gemmifera; Brassica rapa ssp. rapa; Capsella bursa-pastoris; Chenopodium album; Chenopodium quinoa; Dactylis glomerata; Daucus carota; Ficus carica; Fragaria; Fragaria x ananassa; Hordeum vulgare; Lactuca sativa; Lolium multiflorum; Lolium perenne; Solanum lycopersicum; Malus domestica; Medicago sativa; Mentha piperita (M. x piperita) var. citrata; Poa annua; Polygonum convolvulus; Prunus avium; Prunus cerasus; Prunus domestica; Prunus persica; Prunus salicina; Pyrus pyraster; Ranunculus acris (= acer); Raphanus sativus; Ribes; Ribes nigrum; Ribes rubrum; Rosa; Rubus; Rubus idaeus; Senecio vulgaris; Stellaria media; Symphytum officinale; Trifolium pratense; Tussilago farfara; Urtica dioica; Urtica urens; Vitis vinifera; Brassica oleracea var. capitata; Fragaria vesca,Present (Widespread),Austria; Belgium; Bulgaria; Switzerland; Czech Republic; Germany; Denmark; Estonia; Spain; Finland; France; Greece; Hungary; Ireland; Italy; Latvia; Moldova; Netherlands; Norway; Poland; Portugal; Romania; Russia; Sweden; Slovakia; T�rkiye; Ukraine,Canada; United States; New Zealand; South Africa; India; Kazakhstan; Pakistan; Tajikistan; Uzbekistan; Vietnam; Russia,,,,,,,,,,,,,,,,,,,,,,,,,,The Risk Register entry for this pest is extremely incomplete and it cannot be compared with other pests on the Risk Register at the current time. As this is a Regulated Non Quarantine Pest (RNQP) listed in the legislation; we are making available the information we have gathered on the pest so far. It is possible that we will add new information to this pest entry in due course; but as there are a great many RNQPs this may take some time.
20-Apr-20,Live,Longidoridae,Longidorus macrosoma,Needle nematode; Raspberry ring spot nematode,Nematode,Regulated non quarantine pest,,,,,,,,,,,,,,,,,,,,,,Fragaria; Prunus avium; Prunus cerasus; Ribes; Rubus,Present (Widespread),Bosnia-Herzegovina; Belgium; Bulgaria; Switzerland; Czech Republic; Germany; Croatia; Kosovo; Montenegro; Republic of North Macedonia; Serbia; Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,The Risk Register entry for this pest is extremely incomplete and it cannot be compared with other pests on the Risk Register at the current time. As this is a Regulated Non Quarantine Pest (RNQP) listed in the legislation; we are making available the information we have gathered on the pest so far. It is possible that we will add new information to this pest entry in due course; but as there are a great many RNQPs this may take some time.
11-May-15,Live,Pectobacteriaceae,Lonsdalea populi,,Bacterium,Provisional quarantine pest (Great Britain),,Current distribution,,,,The increased number of countries where presence has been declared in Europe implies that this pathogen could be present in more European countries. ,,,,Found on Salix and Populus; could this also infect other species in the Salicaceae family.  ,,,,,,,,,,,,Populus; Populus x canadensis; Salix matsudana,Absent,Spain; Hungary; Portugal; Serbia,China,Plants for planting (except seeds bulbs and tubers); Non-squared wood,Plants for planting (except seeds bulbs and tubers),Pest is introduced,4,4,4,64,Provisional quarantine pest (Great Britain),,,,,,3,4,48,Y,,,Y,,,,,Statutory action against findings.,A bacterial pathogen of poplar and willow. This primarily affects timber quality and can lead to tree mortality in poplar plantations across several European countries and in China.  
18-Dec-19,Live,Pectobacteriaceae,Lonsdalea quercina,Shoot blight: oak,Bacterium,,,Pathway and distribution in the USA,,Climate in the UK assumed to limit the impact from this pest in comparison to California and Colorado.,,Not well studied. Two occurrences recorded; but likely to exist in other locations in the US.,,,,It is not known how this pathogen would affect the UK?s native oaks.,,See ?climate? and ?hosts? above,,Plants for planting might be more likely pathway for bacteria than wood. Acorns/nuts sold as seed might be a more likely pathway for vectors than plants for planting. ,,,,Has been much confusion in the past.,,,,Quercus agrifolia; Quercus ilex; Quercus palustris; Quercus pyrenaica; Quercus rubra; Quercus shumardii; Quercus wislizenii,Absent,,United States,Firewood; insect vectors; leaves; Roundwood of oak with bark present; Cut flowers or branches; Plants for planting (except seeds bulbs and tubers); Bark; Non-squared wood; Woodchip; Seeds,Non-squared wood,Pest is introduced with vector or finds vector,2,3,5,30,Populus is a temporarily prohibited host. Measures on wood. ,,,,,,1,3,15,,,,,,,,,Statutory action on interceptions.,Bacterial pathogen of red oaks in the USA. Current mitigations reduce the risk of introductions.
